"date....row.names.as.matrix.st.." "X6283.TW.Open" "X6283.TW.High" "X6283.TW.Low" "X6283.TW.Close" "X6283.TW.Volume" "X6283.TW.Adjusted" "mm" "ss1" "ss2" "ss3" "ss4"
"2014-05-01" 10.00004 10.00004 10.00004 10.00004 0 18.3615 3.78524375359924 -17.3459999624428 -6.78330070077239 14.3537882079709 24.9164874696413
"2014-05-02" 10.00004 10.05004 9.80006 9.88006 143200 18.1412 3.80816119233352 -17.3230825237085 -6.76038326203811 14.3767056467051 24.9394049083756
"2014-05-05" 9.90005 9.99002 9.81002 9.88006 105600 18.1412 3.83107863106779 -17.3001650849743 -6.73746582330383 14.3996230854394 24.9623223471099
"2014-05-06" 9.88006 9.97003 9.81002 9.82004 102300 18.031 3.85399606980207 -17.27724764624 -6.71454838456956 14.4225405241737 24.9852397858441
"2014-05-07" 9.80006 9.85005 9.70001 9.80006 117000 17.9943 3.87691350853635 -17.2543302075057 -6.69163094583528 14.445457962908 25.0081572245784
"2014-05-08" 9.79003 9.89003 9.61004 9.65001 237900 17.7188 3.89983094727063 -17.2314127687714 -6.668713507101 14.4683754016423 25.0310746633127
"2014-05-09" 9.65001 9.65001 9.33005 9.49006 306600 17.4251 3.92274838600491 -17.2084953300372 -6.64579606836672 14.4912928403765 25.053992102047
"2014-05-12" 9.36006 9.40003 9.16002 9.16002 179100 16.8191 3.94566582473919 -17.1855778913029 -6.62287862963244 14.5142102791108 25.0769095407813
"2014-05-13" 9.19003 9.26001 8.52003 8.53 1014000 15.6623 3.96858326347347 -17.1626604525686 -6.59996119089816 14.5371277178451 25.0998269795155
"2014-05-14" 8.50005 8.50005 7.94001 8.06005 1241100 14.7994 3.99150070220774 -17.1397430138343 -6.57704375216388 14.5600451565794 25.1227444182498
"2014-05-15" 7.80005 8.62003 7.80005 8.62003 672600 15.8276 4.01441814094202 -17.1168255751 -6.55412631342961 14.5829625953136 25.1456618569841
"2014-05-16" 8.88003 8.89005 8.34004 8.45005 813100 15.5155 4.0373355796763 -17.0939081363658 -6.53120887469533 14.6058800340479 25.1685792957184
"2014-05-19" 8.50005 8.55004 8.4 8.45005 207400 15.5155 4.06025301841058 -17.0709906976315 -6.50829143596105 14.6287974727822 25.1914967344526
"2014-05-20" 8.54002 8.55004 8.4 8.41002 140500 15.442 4.08317045714486 -17.0480732588972 -6.48537399722677 14.6517149115165 25.2144141731869
