"Code" "Name" "Close" "Price" "Rsquared" "Slope" "Sd"
"1809.TW" "中釉" "12.7" "High" "0.5153725" "-0.006135929" "1.564775"
"1810.TW" "和成" "9.71" "exHigh" "0.5678776" "-0.003315731" "0.7606478"
"1817.TW" "凱撒衛" "36.5" "Normally" "0.1531647" "0.005636718" "3.485577"
"1902.TW" "台紙" "14.15" "exHigh" "0.5462399" "-0.002859425" "0.6853753"
"1903.TW" "士紙" "33.55" "exHigh" "0.7985091" "-0.02140199" "2.827289"
"1904.TW" "正隆" "14.4" "exHigh" "0.5312295" "-0.002842716" "0.7022646"
"1905.TW" "華紙" "9.91" "High" "0.01908735" "0.0002528514" "0.47669"
"1906.TW" "寶隆" "27.85" "exHigh" "0.0979992" "0.003603045" "2.874684"
"1907.TW" "永豐餘" "10.9" "exHigh" "0.904495" "-0.007326843" "0.6261164"
"1909.TW" "榮成" "24.6" "exHigh" "0.03103418" "0.00149916" "2.202979"
"2002.TW" "中鋼" "25.3" "High" "0.3457243" "-0.00599099" "2.167416"
"2006.TW" "東和鋼鐵" "21.25" "High" "0.6804192" "-0.01003651" "1.808894"
"2007.TW" "燁興" "4.89" "High" "0.6258712" "-0.003398189" "0.6909456"
"2008.TW" "高興昌" "11" "exHigh" "0.4897307" "-0.005452685" "1.463726"
"2009.TW" "第一銅" "7.77" "High" "0.6594424" "-0.005062614" "0.9567753"
"2010.TW" "春源" "11.95" "High" "0.1768849" "-0.001682096" "0.9542542"
"2012.TW" "春雨" "13.45" "Low" "0.2879198" "0.002527019" "1.045118"
"2013.TW" "中鋼構" "21.45" "High" "0.7853744" "-0.01909833" "2.625585"
"2014.TW" "中鴻" "10.7" "exHigh" "0.1186002" "-0.002073811" "1.486761"
"2015.TW" "豐興" "47.9" "exHigh" "0.3070305" "-0.01166511" "4.608754"
"2017.TW" "官田鋼" "8.67" "Low" "0.008013424" "0.0004990899" "1.461933"
"2020.TW" "美亞" "13.6" "Normally" "0.09598113" "-0.0009956128" "0.803553"
"2022.TW" "聚亨" "5.16" "exHigh" "0.5500962" "-0.002572062" "0.6117166"
"2023.TW" "燁輝" "12.45" "exHigh" "0.00122978" "0.0001600335" "1.199384"
"2024.TW" "志聯" "8.58" "Normally" "0.002379627" "0.0002010748" "1.082715"
"2025.TW" "千興" "2.79" "Normally" "0.4606642" "-0.003375706" "0.960573"
"2027.TW" "大成鋼" "18.15" "Normally" "0.01197632" "0.001003975" "2.398133"
"2028.TW" "威致" "4.01" "exHigh" "0.6189853" "-0.004123823" "0.8508616"
"2029.TW" "盛餘" "35.25" "exHigh" "0.06736033" "0.004405709" "4.311208"
"2030.TW" "彰源" "10.35" "Normally" "0.02919072" "-0.001064826" "1.614921"
"2031.TW" "新光鋼" "22.6" "exHigh" "0.1048792" "-0.00311522" "2.393388"
"2032.TW" "新鋼" "10.55" "High" "0.2766652" "-0.002480569" "1.054805"
"2033.TW" "佳大" "9.07" "Normally" "0.44445" "-0.002033945" "0.5980227"
"2034.TW" "允強" "28.15" "High" "3.457392e-05" "-7.680052e-05" "3.434873"
"2038.TW" "海光" "6.83" "exHigh" "0.7594" "-0.004982909" "0.7376049"
"2049.TW" "上銀" "161" "Normally" "0.577147" "-0.1833" "41.26123"
"2059.TW" "川湖" "416.5" "Normally" "0.1695951" "0.08617405" "50.14678"
"2062.TW" "橋椿" "43.5" "High" "0.7164473" "-0.04861832" "8.043646"
"2069.TW" "運錩" "24.5" "exHigh" "0.03307584" "-0.002866583" "2.308692"
"2101.TW" "南港" "29.6" "High" "0.7368658" "-0.01120454" "1.760828"
"2102.TW" "泰豐" "16.7" "exHigh" "0.891513" "-0.01290034" "1.183463"
"2103.TW" "台橡" "36.15" "exHigh" "0.6074341" "-0.02785238" "5.8884"
"2104.TW" "中橡" "28.45" "High" "0.2680439" "-0.006547596" "2.845442"
"2105.TW" "正新" "62.2" "Normally" "0.5187654" "-0.02500354" "6.333194"
"2106.TW" "建大" "48" "Normally" "0.6587325" "-0.02659088" "5.033313"
"2107.TW" "厚生" "15.85" "Normally" "0.5804551" "-0.01989563" "4.448267"
"2108.TW" "南帝" "22.65" "Normally" "0.3722592" "0.009071145" "3.097832"
"2109.TW" "華豐" "11" "Normally" "0.4154157" "-0.01195079" "3.728267"
"2114.TW" "鑫永銓" "77.6" "Normally" "0.1273993" "-0.02244297" "15.44659"
"2115.TW" "六暉-KY" "53.6" "Normally" "0.0003227311" "-0.000633848" "8.197861"
"2201.TW" "裕隆" "27.55" "High" "0.8942929" "-0.0339307" "3.067844"
"2204.TW" "中華" "28.65" "exHigh" "0.3601593" "-0.005613597" "1.967697"
"2206.TW" "三陽工業" "20.5" "Normally" "0.6487944" "-0.03071641" "5.943277"
"2207.TW" "和泰車" "358" "Normally" "0.008791383" "-0.01926328" "53.79136"
"2208.TW" "台船" "13.85" "Normally" "0.732163" "-0.006693911" "1.06473"
"2227.TW" "裕日車" "198" "Normally" "0.7946199" "-0.2312788" "30.92172"
"2228.TW" "劍麟" "177.5" "Low" "0.7907859" "0.1397092" "18.85666"
"2231.TW" "為升" "247" "exLow" "0.3294688" "0.226965" "85.15096"
"2236.TW" "百達-KY" "57.3" "Low" "0.5495656" "0.08283588" "9.373981"
"2239.TW" "英利-KY" "185.5" "Normally" "0.2289091" "0.07740861" "14.72373"
"2301.TW" "光寶科" "47.2" "High" "0.08785418" "-0.007081669" "6.000878"
"2302.TW" "麗正" "6.56" "Normally" "0.02376493" "0.0006066065" "1.022455"
"2303.TW" "聯電" "11.35" "Normally" "0.133023" "-0.001772758" "1.190195"
"2305.TW" "全友" "9.03" "Normally" "0.4366455" "0.005361095" "1.601431"
"2308.TW" "台達電" "174" "Normally" "0.04715246" "-0.01709824" "20.21339"
"2311.TW" "日月光" "34.3" "Low" "0.154351" "0.00688743" "4.239609"
"2312.TW" "金寶" "12.55" "Normally" "0.034566" "-0.001159626" "1.611695"
"2313.TW" "華通" "16.65" "Normally" "0.02401333" "0.00136791" "2.293409"
"2314.TW" "台揚" "24.5" "exHigh" "0.04151459" "-0.003806836" "4.81044"
"2316.TW" "楠梓電" "17.9" "Low" "0.4172519" "0.0140261" "4.359196"
"2317.TW" "鴻海" "83.7" "Normally" "0.02777129" "-0.005043968" "7.848502"
"2321.TW" "東訊" "4.15" "exHigh" "0.4119732" "-0.001809173" "0.5684239"
"2323.TW" "中環" "3.55" "High" "0.67944" "-0.002011703" "0.3633886"
"2324.TW" "仁寶" "18.85" "Normally" "0.2350549" "-0.005156507" "2.446326"
"2325.TW" "矽品" "47.7" "Normally" "0.3708687" "0.01371271" "4.696907"
"2327.TW" "國巨" "76" "Normally" "0.7671584" "0.06595974" "9.556414"
"2328.TW" "廣宇" "25.2" "High" "0.1036087" "-0.006118241" "4.732662"
"2329.TW" "華泰" "11.35" "Low" "0.3833874" "0.006944643" "2.316144"
"2330.TW" "台積電" "185.5" "Normally" "0.8618898" "0.08718919" "9.178629"
"2331.TW" "精英" "18.75" "Normally" "0.002030313" "0.001032491" "6.019936"
"2332.TW" "友訊" "10.4" "Normally" "0.6737056" "-0.01284238" "2.35041"
"2337.TW" "旺宏" "6.96" "exHigh" "0.6413775" "-0.004515397" "0.8879451"
"2338.TW" "光罩" "9.18" "High" "0.418881" "-0.002218746" "0.6872631"
"2340.TW" "光磊" "14.1" "High" "0.09460862" "-0.00222296" "1.808476"
"2342.TW" "茂矽" "2.95" "Normally" "0.6265766" "-0.006677238" "1.355623"
"2344.TW" "華邦電" "12.8" "exHigh" "0.06065152" "0.00128874" "1.333786"
"2345.TW" "智邦" "56.5" "High" "0.6514558" "0.04017493" "7.728048"
"2347.TW" "聯強" "32.6" "Normally" "0.7384939" "-0.02360395" "3.69386"
"2348.TW" "海悅" "18" "Normally" "0.7740469" "-0.03954541" "5.618882"
"2349.TW" "錸德" "5.16" "exHigh" "0.1721864" "-0.001570633" "0.9056695"
"2351.TW" "順德" "45.85" "High" "0.04121175" "-0.004846766" "6.147961"
"2352.TW" "佳世達" "16.35" "High" "0.2220146" "0.00475652" "2.341599"
"2353.TW" "宏碁" "14.4" "Normally" "0.4718664" "-0.009805699" "2.728156"
"2354.TW" "鴻準" "87.9" "Normally" "0.07059347" "0.0109763" "10.47382"
"2355.TW" "敬鵬" "61.9" "Normally" "0.2411622" "0.0142678" "6.655877"
"2356.TW" "英業達" "23.5" "Normally" "0.1730681" "-0.005497377" "3.160168"
"2357.TW" "華碩" "273" "Normally" "0.003567426" "-0.006387674" "28.07485"
"2358.TW" "廷鑫" "14.9" "High" "0.1312523" "-0.004762434" "3.222186"
"2359.TW" "所羅門" "15.45" "Normally" "0.04011712" "-0.001914495" "2.462787"
"2360.TW" "致茂" "81.9" "Normally" "0.0338151" "0.006281322" "8.829867"
"2362.TW" "藍天" "27.55" "High" "0.8992564" "-0.04648327" "4.091588"
"2363.TW" "矽統" "6.81" "High" "0.6363701" "-0.004297503" "0.8543175"
"2364.TW" "倫飛" "2.54" "Normally" "0.4250009" "-0.003156215" "0.9654585"
"2365.TW" "昆盈" "8.76" "Normally" "0.6227339" "-0.005354587" "1.096041"
"2367.TW" "燿華" "9.41" "Normally" "0.3230836" "-0.003067195" "1.167561"
"2368.TW" "金像電" "10.45" "Normally" "0.02442766" "0.002213392" "3.67854"
"2369.TW" "菱生" "11.75" "High" "0.6125034" "-0.01073543" "2.245574"
"2371.TW" "大同" "16.75" "exHigh" "0.1471343" "-0.002762385" "1.749024"
"2373.TW" "震旦行" "54.5" "High" "0.3762672" "-0.008250424" "2.793545"
"2374.TW" "佳能" "16.95" "Normally" "0.2328392" "-0.004495954" "2.146176"
"2375.TW" "智寶" "16.7" "Normally" "0.3643134" "0.005178916" "1.799083"
"2376.TW" "技嘉" "41" "Normally" "0.008057988" "0.001918928" "5.599082"
"2377.TW" "微星" "75.6" "Normally" "0.6542148" "0.05534495" "10.58155"
"2379.TW" "瑞昱" "109" "Normally" "0.1032338" "0.01974923" "15.3076"
"2380.TW" "虹光" "6.88" "Normally" "0.6302265" "-0.004401506" "0.8866437"
"2382.TW" "廣達" "63.6" "Normally" "0.3501078" "-0.02299594" "8.239468"
"2383.TW" "台光電" "109.5" "exHigh" "0.8953681" "0.07667193" "6.892803"
"2385.TW" "群光" "73.7" "Normally" "0.01750222" "-0.003212341" "6.329496"
"2387.TW" "精元" "18.2" "Normally" "0.2067473" "0.004627906" "2.383958"
"2388.TW" "威盛" "11.2" "High" "0.5496028" "-0.02010765" "4.786996"
"2390.TW" "云辰" "16.35" "Normally" "0.1237215" "-0.01310344" "9.170898"
"2392.TW" "正崴" "36.6" "Normally" "0.8436714" "-0.03041146" "3.442691"
"2393.TW" "億光" "48.9" "Normally" "0.3052897" "-0.02400151" "9.521661"
"2395.TW" "研華" "265" "Normally" "0.5224115" "0.07785692" "19.577"
"2397.TW" "友通" "50.2" "Normally" "0.631149" "0.02282651" "4.589098"
